,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
5251,1.0,1.0,19.37824,-99.18174,2.0,1.0,1.0,2.0,10.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,35.0,0.0,0.0,4.91,5.0,4.97,4.97,5.0,4.88,4.88,1.0,1.0,0.0,29963961,https://www.airbnb.com/rooms/29963961,20230329041210,2023-03-30,previous scrape,Departamento cerca de Parque Hundido e Insurgentes,"El alojamiento completo se trata de un Departamento de 1 recamara, sala comedor , cocina y 1 baÃ±o completo, la estancia es amplia y estÃ¡ equipada con un sofÃ¡. El departamento estÃ¡ reciÃ©n remodelado, la cocina esta equipada con parrilla , campana, refrigerador, licuadora, hornito y cafetera , el departamento esta a 1 cuadra del parque hundido y del metro bus Parque Hundido en Insurgentes., y cerca del metro Mixcoac , a tres cuadras de Patriotismo<br /><br /><b>The space</b><br />Departamento adaptado exclusivamente para usuarios de Airbnb, por lo que todo esta adecuado para pasar una estancia cÃ³moda, segura y privada. El edificio esta reciÃ©n remodelado, no tiene portero y sin aparcamiento, la zona se maneja con parquÃ­metro , te sentirÃ¡s muy seguro en un departamento cÃ©ntrico y excelente costo beneficio.<br /><br /><b>Guest access</b><br />Es un edificio sin zonas comunes y sin estacionamiento<br /><br /><b>Other things to note</b><br />Como cualquier edificio de la Ciudad de Mexico ocas","La zona es muy segura, es zona ecobici, y zona de parquÃ­metros, a una cuadra se encuentra el parque hundido. Y a dos cuadras avenida insurgentes y la estaciÃ³n de metrobÃºs porque hundido , a 1 km estÃ¡ el centro comercial galerÃ­as insurgentes, tambiÃ©n a 4 cuadras encontrarÃ¡s en metro mixcoac de la lÃ­nea 12. Y a 3 cuadras de la Av Patriotismo.",https://a0.muscache.com/pictures/63fd00f9-7127-4365-a684-c7215f97cf9a.jpg,112545384,https://www.airbnb.com/users/show/112545384,Sandy,2017-01-21,"Mexico City, Mexico","Me encanta ser anfitriona, hablo ingles por si nos visitas de otro paÃ­s .. ",Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/723dbd0c-283c-4296-b5c3-0273d1b03a02.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/723dbd0c-283c-4296-b5c3-0273d1b03a02.jpg?aki_policy=profile_x_medium,San Juan,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,1.0,"[""Teka stainless steel gas stove"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Conditioner"", ""Single level home"", ""Long term stays allowed"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Toaster"", ""Coffee"", ""Laundromat nearby"", ""40\"" HDTV with Amazon Prime Video, HBO Max, Netflix"", ""Dedicated workspace"", ""Essentials"", ""Oven"", ""Iron"", ""Hot water"", ""Hair dryer"", ""Cooking basics"", ""Cleaning available during stay"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Kitchen"", ""Blender"", ""First aid kit"", ""Freezer"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Dishes and silverware"", ""Clothing storage: closet"", ""Shampoo""]",11429.0,t,2023-03-30,2018-11-13,2022-01-20,Sin registro,t,0,0.66
5269,1.0,1.0,19.4039,-99.15614,4.0,2.0,2.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,27,57,87,177,0.0,0.0,0.0,4.8,4.8,4.8,4.9,4.9,4.9,4.9,1.0,1.0,0.0,29990568,https://www.airbnb.com/rooms/29990568,20230329041210,2023-03-30,city scrape,Departamento en excelente zona,"El nÃºmero de personas depende de cuÃ¡ntas se puedan acomodar y como deseen dormir; pero el departamento son dos recamaras, dos baÃ±os completos, sala-cocina-comedor-medio baÃ±o y estacionamiento para dos autos",Sin registro,https://a0.muscache.com/pictures/d3496942-85cc-4c80-ad77-05b0cb0fe5c8.jpg,225445582,https://www.airbnb.com/users/show/225445582,Katia,2018-11-12,Sin ubicación,Sin registro,Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/b7367fef-9570-4bd3-9d1f-a2b4d0d373f4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b7367fef-9570-4bd3-9d1f-a2b4d0d373f4.jpg?aki_policy=profile_x_medium,Narvarte,"['email', 'phone']",t,t,Sin ubicación,Benito JuÃ¡rez,Entire rental unit,Entire home/apt,2.0,"[""Free parking on premises""]",12000.0,t,2023-03-30,Sin registro,Sin registro,Sin registro,t,0,Sin registro
5305,2.0,3.0,19.40241,-99.2,6.0,3.0,3.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,87,0.0,0.0,0.0,4.8,4.8,4.8,4.9,4.9,4.9,4.9,2.0,2.0,0.0,30039868,https://www.airbnb.com/rooms/30039868,20230329041210,2023-03-29,city scrape,Rombo II,"Cocina â<br />Desayunador â sillas La Palma y Kristalia, mesa de mÃ¡rmol<br />Estancia â muebles Poliform en tela y piel<br />Comedor â sillas de Poliform y Kristalia, mesa mÃ¡rmol<br />Cine â pantalla de cien pulgadas con butacas en tela y piel <br />Recamaras â camas y mobiliario Poliform<br />Closet & Guardarropa - Poliform <br />Teppanyaki <br />Terrazas mixtas â<br /><br /><b>Guest access</b><br />Servicios incluidos:<br />Limpieza<br />Concierge<br />Seguridad<br /><br />No incluidos:<br />Despensa a domicilio<br />TintorerÃ­a y lavanderia <br />Spa <br />Chofer <br />Chef en casa",Sin registro,https://a0.muscache.com/pictures/1c2b6341-2b9e-4e37-9d89-795ef7659c78.jpg,207171317,https://www.airbnb.com/users/show/207171317,Casa,2018-08-03,Sin ubicación,Sin registro,within a day,78%,100.0,f,https://a0.muscache.com/im/pictures/user/cd4132a4-549c-417b-8bd3-6ae1051f72a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd4132a4-549c-417b-8bd3-6ae1051f72a8.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone', 'work_email']",t,t,Sin ubicación,Cuajimalpa de Morelos,Entire home,Entire home/apt,5.0,"[""Ethernet connection"", ""Smoke alarm"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""TV with standard cable"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Breakfast"", ""Iron"", ""Hot water"", ""Stove"", ""Pocket wifi"", ""Free parking on premises"", ""Hair dryer"", ""Hot tub"", ""Cooking basics"", ""Babysitter recommendations"", ""Heating"", ""Cleaning available during stay"", ""Washer"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dishwasher"", ""Dryer"", ""Carbon monoxide alarm"", ""Shampoo""]",36214.0,t,2023-03-29,Sin registro,Sin registro,Sin registro,t,0,Sin registro
5319,2.0,3.0,19.40271,-99.2,2.9,1.4,1.6,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,364,3.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,30043309,https://www.airbnb.com/rooms/30043309,20230329041210,2023-03-29,city scrape,Rombo IV,"Es un espacio privado,  con un continuo convivio con el Ã¡rbol, es quizÃ¡s nuestro huÃ©sped mÃ¡s presente y en todo caso el mÃ¡s envolvente, al igual que el agua que tiene una amplia continuidad; Fuentes y espejos son un constante recurso natural donde el reflejo agudiza el entorno en este (caso) casi siempre verde que como en casi todas las ciudades muy pobladas el Ã¡rbol es un bien preciado al igual que la vegetaciÃ³n, el agua, la tierra y hoy aÃºn mÃ¡s la intimidad...<br /><br /><b>The space</b><br />Cocina â muebles Poliform, electrodomÃ©sticos Miele  <br />Desayunador â sillas La Palma y Kristalia, mesa de acero y mÃ¡rmol<br />Estancia â muebles Poliform en tela y piel<br />Comedor â sillas de Poliform y Kristalia, mesa de acero y mÃ¡rmol<br />Gimnasio<br />Cine â equipo por Audiocom, pantalla de cien pulgadas con butacas en tela y piel <br />Billar<br />Recamaras â camas y mobiliario Poliform<br />Closet & Guardarropa - Poliform <br />Terrazas mixtas â todas amuebladas en mÃ¡rmol y cojinerias","Una zona cÃ©ntrica y arbolada de la Ciudad de MÃ©xico llamada Bosques de las Lomas, con un continuo convivio con el Ã¡rbol.",https://a0.muscache.com/pictures/miso/Hosting-30043309/original/8bab7742-207a-4b3a-8f82-ec65a9616405.jpeg,207171317,https://www.airbnb.com/users/show/207171317,Casa,2018-08-03,Sin ubicación,Sin registro,within a day,78%,100.0,f,https://a0.muscache.com/im/pictures/user/cd4132a4-549c-417b-8bd3-6ae1051f72a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd4132a4-549c-417b-8bd3-6ae1051f72a8.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Miguel Hidalgo,Entire home,Entire home/apt,8.0,"[""Ethernet connection"", ""Smoke alarm"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Pool"", ""TV with standard cable"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Breakfast"", ""Iron"", ""Hot water"", ""Stove"", ""Pocket wifi"", ""Backyard"", ""Hair dryer"", ""Free parking on premises"", ""Cooking basics"", ""Babysitter recommendations"", ""Heating"", ""Cleaning available during stay"", ""Washer"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""Gym"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dishwasher"", ""Dryer"", ""Shampoo""]",56744.0,t,2023-03-29,2019-10-01,2022-10-31,Sin registro,f,0,0.07
5328,1.0,4.0,19.42979321239769,-99.15254561163938,4.0,1.0,2.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,0,0,6,6,7.0,7.0,1.0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,1.0,1.0,0.0,30778966,https://www.airbnb.com/rooms/30778966,20230329041210,2023-03-30,city scrape,"Cozy apartment, few steps from Reforma","Excellent entire lodging in Colonia JuÃ¡rez, Mexico City; a few streets from Reforma, its location is the best, very close to the tourist places in the city.<br /><br /><b>The space</b><br />Fully furnished apartment in the fastest growing neighborhood in Mexico City, the JuÃ¡rez neighborhood! Close to the center, to Roma, to La Condesa and near to Zona Rosa.<br /><br />It is located on Calle General Prim, a quiet and safe street thanks to the fact that it is next to the historic building of the Secretary of the Interior. 2 blocks from the CuauhtÃ©moc subway station, 4 blocks from the Metrobus Reforma station, 1 block from the Ecobici station, 3 blocks from the JuÃ¡rez market.<br /><br />In this growing area of ââthe JuÃ¡rez neighborhood you will find hipster restaurants and bars, supermarkets, parks, bookstores, banks, Reforma 222 Shopping Center. The location is the best attraction of this recently remodeled apartment.<br /><br />Includes: 1 bedroom, 1 dining room, 1 full bathroom, servic",Sin registro,https://a0.muscache.com/pictures/fcf71ad3-d3ab-4f5f-8d09-7247e678d405.jpg,70071943,https://www.airbnb.com/users/show/70071943,Tonatiuh,2016-05-02,"Mexico City, Mexico","Soy un chico muy sociable, servicial, amable y muy al tanto de las necesidades de mis invitados. Me encanta la idea de compartir nuestras culturas conviviendo en el mismo espacio. Aunque no hablo muy bien el ingles, no me da verguenza  y hago mi mejor esfuerzo por mantener conversaciones interesantes con mis invitados. / I am a very sociable, helpful, friendly and very aware of the needs of my guests boy. I love the idea of sharing our cultures coexisting in the same space. Although I do not speak English very well, I'm not ashamed and do my best to keep interesting conversations with my guests.",within an hour,100%,100.0,f,https://a0.muscache.com/im/pictures/user/cff74cdf-e8f5-41b6-bcac-dae499ebfe8a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cff74cdf-e8f5-41b6-bcac-dae499ebfe8a.jpg?aki_policy=profile_x_medium,JuÃ¡rez,"['email', 'phone', 'work_email']",t,t,Sin ubicación,CuauhtÃ©moc,Entire rental unit,Entire home/apt,1.0,"[""Free street parking"", ""Single level home"", ""Long term stays allowed"", ""Wine glasses"", ""Cleaning products"", ""Hisense refrigerator"", ""Dining table"", ""Outdoor dining area"", ""Laundromat nearby"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Paid parking lot off premises"", ""Mini fridge"", ""Microwave"", ""Hot water"", ""Whirlpool gas stove"", ""Keypad"", ""Outdoor furniture"", ""Cooking basics"", ""Hangers"", ""Room-darkening shades"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""Freezer"", ""Self check-in"", ""Courtyard view"", ""Coffee maker"", ""Bed linens"", ""Private patio or balcony"", ""Private entrance"", ""Wifi"", ""Pets allowed"", ""Outdoor shower"", ""Dishes and silverware"", ""Whirpool stainless steel double oven"", ""Clothing storage: closet""]",412807.0,t,2023-03-30,2022-07-26,2023-03-24,Sin registro,t,0,0.85
5440,10.0,10.0,19.41125,-99.17371,6.0,3.0,3.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,21,40,68,343,50.0,36.0,2.0,4.94,4.9,4.98,5.0,4.94,4.94,4.94,10.0,10.0,0.0,30675445,https://www.airbnb.com/rooms/30675445,20230329041210,2023-03-30,city scrape,Ultra Luxury 3B Apartment,"Moderno, elegante y muy amplio departamento de dos pisos con tres recÃ¡maras y 300 m2 en la Condesa. Este departamento fue diseÃ±ado y decorado por uno de los mejores interioristas de la Ciudad. El departamento estÃ¡ dividido en dos pisos. En el primer piso se encuentra el Ã¡rea social con Bar, Recibidor, Sala, Comedor, Cocina, 2 medios baÃ±os, alacena y cuarto de lavado. En la parte superior se encuentra el Estudio, 2 BaÃ±os Completos, RecÃ¡mara Principal y dos RecÃ¡maras Secundarias.<br /><br /><b>The space</b><br />El departamento cuenta con sistema inteligente y automatizado de luces, persianas y sonido. Limpieza diaria incluida (lunes a sÃ¡bado).<br /><br /><b>Guest access</b><br />Todo el departamento es exclusivamente para la persona que lo rente. No comparte ningÃºn Ã¡rea con los vecinos","La zona es muy conocida por la gran cantidad de cafÃ©s, librerÃ­as, restaurantes, galerÃ­as y boutiques, asÃ­ como por su vida cultural y nocturna. La Condesa comparte su frontera y espÃ­ritu bohemio con la Colonia Roma, y juntas forman el llamado Corredor Cultural Roma Condesa. Una de las principales caracterÃ­sticas actuales de la colonia Condesa es la juventud de sus colonos, lo que le proporciona un aire cosmopolita, representado de forma mÃ¡s visible por su vida nocturna y gastronÃ³mica, un estilo de vida desenfadado, donde las bicicletas retro y la compaÃ±Ã­a de los perros como mascotas salpican sus calles y pegatina alternativa. Asimismo, es comÃºn la filmaciÃ³n de pelÃ­culas, comerciales o programas de televisiÃ³n en las calles.<br /><br />Junto con Polanco, la Colonia Del Valle, San Ãngel, Jardines Del Pedregal, Lomas de Chapultepec, Ciudad SatÃ©lite, Interlomas, Bosques de las Lomas y Santa Fe, es parte del eje de mayor desarrollo de la capital de MÃ©xico y zona metropolitana. Todas estas zo",https://a0.muscache.com/pictures/miso/Hosting-30675445/original/cd7ab4b4-cee6-4ad7-9279-7bf82b6cc1a0.jpeg,97457747,https://www.airbnb.com/users/show/97457747,Sergio,2016-10-01,"Mexico City, Mexico",Always exited to meet new people and share the Mexican culture and everything that our city has to offer. ,within an hour,100%,100.0,t,https://a0.muscache.com/im/pictures/user/c6d70d6c-a94f-414e-8a86-09383ae9dab7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c6d70d6c-a94f-414e-8a86-09383ae9dab7.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone']",t,t,"Mexico City, CDMX, Mexico",CuauhtÃ©moc,Entire rental unit,Entire home/apt,3.0,"[""Ethernet connection"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Essentials"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Microwave"", ""AC - split type ductless system"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Park view"", ""Pocket wifi"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Bread maker"", ""Elevator"", ""Heating"", ""Cleaning available during stay"", ""Shower gel"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""60\"" HDTV with HBO Max, Disney+, Hulu, Netflix"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Private patio or balcony"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Wifi"", ""Mabe stainless steel gas stove"", ""Paid parking off premises"", ""Dishes and silverware"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Shampoo""]",10146.0,t,2023-03-30,2021-10-29,2023-03-19,Sin registro,f,0,2.9
5572,1.0,4.0,19.42942,-99.1717,4.0,2.0,3.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,28,58,88,178,0.0,0.0,0.0,4.8,4.8,4.8,4.9,4.9,4.9,4.9,1.0,1.0,0.0,31444436,https://www.airbnb.com/rooms/31444436,20230329041210,2023-03-30,city scrape,No activo,"Bonito departamento cÃ³modo y acogedor tanto para viaje de turismo o viaje de negocios, su ubicaciÃ³n a 3 calles de Av Reforma la principal avenida del paÃ­s, con mucha variedad de restaurantes, a 20 minutos del centro histÃ³rico, este barrio tiene toda la modernidad y tambiÃ©n el toque histÃ³rico, la ubicaciÃ³n es perfecta para ir a todo sitio. Es semi nuevo, ademÃ¡s de lo descrito cuenta con una terraza trasera y otra al frente, cuenta con roof garden . Si requieres algo adicional avÃ­same.<br /><br /><b>The space</b><br />Cuenta con una recÃ¡mara matrimonial y su baÃ±o completo, la otra recÃ¡mara con 2 camas individuales y baÃ±o completo afuera, sofÃ¡ , tv, comedor, microondas, estufa, refrigerador, trastes de cocina, ...listo para habitarse !<br /><br /><b>Guest access</b><br />El departamento estÃ¡ en primer piso, hay elevador, lugar para un auto, Roof garden comÃºn, vigilancia las 24 horas<br /><br /><b>Other things to note</b><br />La ubicaciÃ³n del departamento es muy comanda para ir a cualquie",Sin registro,https://a0.muscache.com/pictures/79690e51-f655-4a07-bf16-7f85dbce3669.jpg,107194368,https://www.airbnb.com/users/show/107194368,Cristina,2016-12-13,"Mexico City, Mexico",12 julio 1963,Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/34460f00-77dc-4b3c-ba6a-c58e790d148f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/34460f00-77dc-4b3c-ba6a-c58e790d148f.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone']",t,t,Sin ubicación,CuauhtÃ©moc,Entire rental unit,Entire home/apt,2.0,"[""Elevator"", ""Extra pillows and blankets"", ""Private entrance"", ""Wifi"", ""Iron"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Kitchen"", ""Smoking allowed"", ""TV"", ""Free parking on premises"", ""Bed linens"", ""Essentials""]",55000.0,t,2023-03-30,Sin registro,Sin registro,Sin registro,t,0,Sin registro
5664,5.3,6.2,19.41278,-99.18027,2.9,1.4,1.6,1.0,1125.0,1.0,4.0,1125.0,1125.0,3.8,1125.0,2,31,61,324,4.0,0.0,0.0,5.0,5.0,5.0,4.75,4.75,5.0,5.0,4.4,2.2,0.0,31544527,https://www.airbnb.com/rooms/31544527,20230329041210,2023-03-30,city scrape,The Gallery Condesa Big Group 41 Guests,"Amazing place with changing decoration intervened by Mexican artists. NOTE: this ad is for the entire apart-hotel, but we can rent from 1 apartment up to the 11 that we have depending on availability. Our capacity is as follows: 10 apartments for 4 people maximum (1 queen bed and a double sofa bed) and 1 apartment with single bed for a total of 41 people. Hot breakfast is included in the price. Hot breakfast included.<br /><br /><b>The space</b><br />The condos are cozy and practical as they have a kitchenette with everything you need to prepare what you like most, big a sofa bed for your guests, cable TV, Netflix, high speed internet and everything you might need to have a very comfortable stay in the Condesa. In addition to all this, the entire building is a gallery dedicated to Mexican modern art, all the paintings are for sale and there is changing art and murals throughout the building.<br /><br /><b>Guest access</b><br />The building has a Gym, a roof garden with barbecue, a very","""La Condesa"" in Mexico City is the most desirable neighborhood and it is not for nothing. ThereÂ´s  bicycles to rent everywhere, either eco bikes, free bike, etc. ThereÂ´s also the best bars and restaurants in the City. It is a very central neighborhood where you can go to any tour in the city. It is a place completely suitable to walk on foot and to enjoy watching people go by.",https://a0.muscache.com/pictures/31ada3fc-b06f-44ba-ac69-c1701bb5e8c8.jpg,4448934,https://www.airbnb.com/users/show/4448934,John,2012-12-20,"Mexico City, Mexico","MyPlace Leisure Homes

Â¡MI CASA ES TU CASA!

When you stay in one of our properties, youÂ´ll get to experience our history, culture and people with an immersive feel of our traditions all with a touch of design to immerse yourself in our culture. Whether a âlucha libreâ decored flat in Centro HistÃ³rico, an ultra luxury condo in Acapulco, or a restored colonial house, we handpick every one of our homes to give them a unique charm and character and all of them with modern, first-rate amenities and handcrafted local comforts so you can truly relax when visiting Mexico.

With concierge services, hotel amenities, and you can truly relax and live just like youâre at home, but better..

As a hosts, we focus on the little details so you can have the best stay possible. 

As a guest, I know what hosts go through and feel like, so I'm very respectful of the places I rent. 
As a person.. I love my wife and son!! I have a little dog called Carola (which is a mini xoloizcuintle). I love to travel and consider myself a foodie.",within an hour,98%,82.0,t,https://a0.muscache.com/im/pictures/user/fdc7c999-c76c-4a04-8cf7-6404f574eaeb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fdc7c999-c76c-4a04-8cf7-6404f574eaeb.jpg?aki_policy=profile_x_medium,Centro HistÃ³rico,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CuauhtÃ©moc,Entire condo,Entire home/apt,11.0,"[""Smoke alarm"", ""Free street parking"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Security cameras on property"", ""Crib"", ""Dedicated workspace"", ""Essentials"", ""Breakfast"", ""Iron"", ""Hot water"", ""Hair dryer"", ""Cooking basics"", ""Heating"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Private entrance"", ""Wifi"", ""Pets allowed"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Shampoo""]",26943.0,t,2023-03-30,2019-05-19,2019-10-13,Sin registro,f,0,0.08
5745,1.0,2.0,19.41279,-99.17599,5.0,2.0,2.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,23,53,83,83,20.2,0.0,0.0,4.8,4.86,4.83,4.91,4.9,4.95,4.95,1.0,1.0,0.0,31947914,https://www.airbnb.com/rooms/31947914,20230329041210,2023-03-30,city scrape,Lovely apartment located in the heart of Condesa!!,"Lovely apartment located in the heart of Condesa, in front of the best restaurants, bars & places to enjoy different kind of music. Walking distance of the famous Condesaâs market & public parks. Close to the main touristic zones. A unique place full of details, to enjoy as in home!<br /><br />Depto en el corazÃ³n de la Condesa, super cuidado, reciÃ©n remodelado, todo nuevo,  acogedor, 2 recamaras, sala, comedor y cocina,  super ubicado para caminar a los mejores restaurantes, bares, y amenidades en CDMX.<br /><br /><b>The space</b><br />Este lugar te harÃ¡ sentir como si estuvieras en tu casa, bonito, acogedor, consentido y siempre con una atenciÃ³n para lo que puedas necesitar.","En el corazÃ³n de la Condesa y cerca de prÃ¡cticamente todos los barrios importantes de la ciudad de MÃ©xico, los mejores restaurantes, parques, bares, museos y vida nocturna.",https://a0.muscache.com/pictures/2d932dc9-c95b-4e83-8790-8cb30203c4b7.jpg,51952489,https://www.airbnb.com/users/show/51952489,Juan C,2015-12-21,"Mexico City, Mexico",Sin registro,Sin registro,0,67.0,f,https://a0.muscache.com/im/pictures/user/895a58af-2c3e-4b07-8840-60b4c46e56e9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/895a58af-2c3e-4b07-8840-60b4c46e56e9.jpg?aki_policy=profile_x_medium,Condesa,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CuauhtÃ©moc,Entire rental unit,Entire home/apt,1.0,"[""Private entrance"", ""Wifi"", ""Washer"", ""Dishes and silverware"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Kitchen"", ""Dryer"", ""TV"", ""Cooking basics"", ""Essentials""]",11930.0,t,2023-03-30,2019-03-31,2022-03-13,Sin registro,f,0,3.04
5784,1.0,1.0,19.39867,-99.16297,2.0,2.0,2.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.8,4.8,4.8,4.9,4.9,4.9,4.9,1.0,1.0,0.0,31392401,https://www.airbnb.com/rooms/31392401,20230329041210,2023-03-30,city scrape,Departamento en renta AMORES,"El departamento es de 92m2 tiene una recamara principal con pantalla tv y recamara king size,baÃ±o completo con vestidor. Recamara 2 con cama individual; un baÃ±o completo en el pasillo; una cocina equipada ; una sala y comedor amueblados.<br />El departamento es nuevo solo fue habitado por 1 aÃ±o por los dueÃ±os.<br />Cuenta con una excelente ubicaciÃ³n donde tienes el metro en la esquina, y a poca distancia tiendas supermercado, gimnasios, plazas comerciales, parques y restaurantes.<br />Es una zona muy segura<br /><br /><b>The space</b><br />El edificio es de reciente construcciÃ³n, y en excelente condiciones. Hay seguridad y videovigilancia permanente en el edificio, hay 2 cajones de estacionamiento y una bodega.",Hay muchos restaurantes en la zona y algunos parques; es agradable recorrerlo caminando.,https://a0.muscache.com/pictures/1cf941b9-2088-4490-9097-55ed2bcc07a1.jpg,235129694,https://www.airbnb.com/users/show/235129694,Emiliana,2019-01-08,Sin ubicación,Sin registro,Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/ff8a9648-29e5-4e18-b47c-562eaa4e1e60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ff8a9648-29e5-4e18-b47c-562eaa4e1e60.jpg?aki_policy=profile_x_medium,Del Valle,"['email', 'phone']",t,f,"Mexico City, Ciudad de MÃ©xico, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,1.0,"[""Elevator"", ""Hangers"", ""Kitchen"", ""TV"", ""Free parking on premises""]",25000.0,t,2023-03-30,Sin registro,Sin registro,Sin registro,t,0,Sin registro
